,question,counts
2818,what is resilience in health care,13
2819,when was covid 19 declared a pandemic,13
2820,what is resilience in nursing,13
2821,what is the earliest onset of covid,13
2822,what is the effect of chloroquine on the immune system,13
2823,what is the covid-19 virus,13
2824,what is resilience in psychology,13
2825,what is the role of furin in sars-cov-2,13
2826,what is orf3a,13
2827,what is self-efficacy,13
2828,what is the economic impact of the covid-19 pandemic,13
2829,is hydroxychloroquine effective,13
2830,what is the quality of youtube videos,13
2831,what is ckrt,13
2832,when does the covid pandemic start,13
2833,what is the treatment for psoriasis,13
2834,why is science important,13
2835,what is the sars test for,13
2836,what is orf9c,13
2837,what is the rt lamp,13
2838,how long does it take for igg to peak,13
2839,what is ace2 expression,13
2840,when does the coronavirus spread,13
2841,what is ecmo therapy,13
2842,what is infodemiology,13
2843,why is school closed,13
2844,how long does it take for sars to show up in stool,13
2845,what is project echo,13
2846,what is the rt lamp used for,13
2847,why do nurses wear ppe,13
2848,what is the structure of rbd,13
2849,what is the mechanism of action of heparin,13
2850,how to predict the spread of an epidemic,13
2851,what is the effect of nsaids,13
2852,what is telepractice,13
2853,what is vitamin e acetate,13
2854,when should a patient be intubated,13
2855,what is xgboost,13
2856,what is eidd2801,13
2857,what is the target cell for sars-cov-2,13
2858,what is the global pandemic of coronavirus,13
2859,what is the genotype of tmprss2,13
2860,who is the author of covid,13
2861,what is the risiko of covid,13
2862,what is the pcr test for sars,13
2863,what is informed consent,13
2864,how long does it take for the covid virus to spread,13
2865,what is the definition of social distancing,13
2866,what is bsaas,13
2867,what is the dosage of remdesivir,13
2868,what is nsaids,13
2869,what is the normal crp for covid,13
2870,what is the difference between asymptomatic and symptomatic,13
2871,what is sodium hypochlorite used for,13
2872,what is the normal range for sars,13
2873,when does covid 19 come out,13
2874,what is the prediction of covid,13
2875,what is nosocomial transmission,13
2876,what is the mutation of sars-cov-2,13
2877,what is the average age of covid,13
2878,what is the normal d dimer for heparin,13
2879,what is the deterministic model,13
2880,why is big data important,13
2881,what is the sars-cov-2 model,13
2882,what is the epidemiological model of covid,13
2883,what is dic,13
2884,what is povidone iodine used for,13
2885,what is the protocol for sars cov-2,13
2886,what is social support,13
2887,what is the treatment for merscov,13
2888,what is the chi square test used for,13
2889,what is unet,13
2890,what is the normal range for tbil,13
2891,what is the role of interferon in sars,13
2892,what is the diagnosis of covid pneumonia,13
2893,what is the purpose of serological testing,13
2894,what is deep learning in medical imaging,13
2895,what is the shortage of ppe,13
2896,what is coinfection,13
2897,what is the covid19 pandemic,13
2898,what is repurposing drugs,13
2899,what is the standard treatment for covid,13
2900,what is the origin of sars cov,13
2901,what is the normal range for t cells,13
2902,what is the risk of bias in a systematic review,13
2903,what is the normal range for cytokines,13
2904,what is the name of the coronavirus,13
2905,what is the compartment model,13
2906,how long does sars cov-2 stay detectable,13
2907,what is the data set for covid,13
2908,what is normal crp,13
2909,what is the purpose of covid data,13
2910,what is the mode of transmission of covid,12
2911,why is the internet important,12
2912,what is the difference between telemedicine and telemedicine,12
2913,what is the secondary attack rate for covid,12
2914,what is brugada syndrome,12
2915,what medications are used to treat covid,12
2916,what is the objective of covid,12
2917,when did the coronavirus epidemic start,12
2918,what is the mutation of sars-cov,12
2919,what is the purpose of tracing contacts,12
2920,how long does a tracheostomy take,12
2921,what is the function of n protein,12
2922,what is the treatment for sepsis,12
2923,what is the purpose of an intubation box,12
2924,how many mutations are in sars cov2,12
2925,what is the strongest predictor of covid,12
2926,what is biosensor,12
2927,how many studies are there for covid,12
2928,what is lca,12
2929,what is cep used for,12
2930,what is mobilevisfixer,12
2931,covid symptoms in adults,12
2932,what is the dose of favipiravir,12
2933,when is covid 19 coming out,12
2934,what is the risk of qt prolongation,12
2935,what is the energy transition,12
2936,what is the purpose of lda,12
2937,what is the dose of ivig,12
2938,what is the response to the pandemic,12
2939,what is resveratrol used for,12
2940,what is the affinity of ace2,12
2941,what is baricitinib used for,12
2942,what is the incubation period for tianjin,12
2943,what is the pandemie,12
2944,how many people are affected by coronavirus,12
2945,what is the role of sars in the pandemic,12
2946,ageism definition,12
2947,what is the purpose of a meta-analysis,12
2948,what is the ace2 variant,12
2949,what is the sird dynamics,12
2950,what is healthwise,12
2951,why is rationing necessary,12
2952,what is the mrale score,12
2953,why is rt pcr used,12
2954,what is traqueotom ⁇ a,12
2955,where is the coronavirus epidemic,12
2956,how many people are affected by sars cov,12
2957,what is the mortality of covid,12
2958,what is the spike protein of sars,12
2959,why is the economy reopening,12
2960,what is the asymptomatic rate of sars,12
2961,what is stemi,12
2962,what is the role of rna polymerase in viral replication,12
2963,where is lombardy,12
2964,what is mindfulness therapy,12
2965,what is hfnc used for,12
2966,what is type i ifn,12
2967,what is the igg response to sars,12
2968,what is rna polymerase,12
2969,where is merscov found,12
2970,what is the rbd antibody,12
2971,what is the difference between covid and ards,12
2972,what is the importance of health literacy,12
2973,what is the purpose of echocardiography,12
2974,what is the classical seir model,12
2975,what is the ifr of sars,12
2976,what is the lyapunov function,12
2977,when is sarscov-2 detected,12
2978,what is the association between smoking and covid,12
2979,what is umap,12
2980,what is lazypipe,12
2981,why is a face mask necessary,12
2982,why is twitter important,12
2983,what is the role of neutrophils in covid,12
2984,what is the most common coronavirus,12
2985,age of sars cov2,12
2986,what is rna sequencing,12
2987,when is sars cov-2 detected in pregnancy,12
2988,when is sars-cov-2 a pandemic,12
2989,what is the role of a pharmacist in a hospital,12
2990,what is the main cause of covid,12
2991,what is the transmission of sars cov-2,12
2992,what is globalization,12
2993,what is the current pandemic situation,12
2994,what is the purpose of a grant,12
2995,what is remote sbrt coverage,12
2996,when was the first sars case reported,12
2997,how to extract data from a study,12
2998,what is the dosage of ritonavir,12
2999,what is hcws,12
3000,what is the endemic steady state,12
3001,what is cess,12
3002,where is sars cov2 spread,12
3003,when is covid-19 testing required,12
3004,what is the most common comorbidity of sars,12
3005,what is the p value of covid,12
3006,what is the role of ace2 in ards,12
3007,what is the seasonality of sars,12
3008,what is utilitarianism,12
3009,what is the ic50 for ivermectin,12
3010,what is the incubation period for an epidemic,12
3011,what is the effect of stay at home orders,12
3012,what is the sir model of covid,12
3013,what is the mortality rate of covid in india,12
3014,what is the pandemic in italy,12
3015,why is the eu important,12
3016,how long does sars cov-2 stay in air,12
3017,what is the structure of sars,12
3018,what is the covid score,12
3019,why is triage important,12
3020,when is covid outbreak,12
3021,why is social capital important,12
3022,what is compressed sensing,12
3023,what is the role of a pharmacist in a pandemic,12
3024,covid-19 symptoms,12
3025,what is the ace receptor for covid,12
3026,what is the social distancing factor,12
3027,what is the gini coefficient,12
3028,what is hipaa compliant,12
3029,what is the age distribution of covid,12
3030,what is brand credibility,12
3031,what is poisson model,12
3032,what is cmr,12
3033,what is the incubation period for infectious diseases,12
3034,what is the igg assay,12
3035,what is the structure of covid,12
3036,when will the covid epidemic peak,12
3037,what is mngs,12
3038,what is the purpose of eeg,12
3039,what is the difference between a conflict of interest and a conflict of interest,12
3040,what is the molecular formula for aspamide,12
3041,what is the response rate for covid,12
3042,age of sars patients,12
3043,what is the commons,12
3044,what is the difference between face to face and online learning,12
3045,what is the main characteristic of covid,12
3046,how long is a typical interview,12
3047,what is spikeplug,12
3048,what is the diagnostic test for covid,12
3049,what is the risk of covid in china,12
3050,what is the prophylactic treatment for covid,12
3051,where does sarscov come from,12
3052,what is the function of the s1 subunit,12
3053,what is iga antibody,12
3054,what is logistic regression used for,12
3055,how effective is quarantine,12
3056,why is teledentistry important,12
3057,what is the purpose of qualitative research,12
3058,what is il6,12
3059,what is the role of ppe in a hospital,12
3060,what is the role of technology in healthcare,12
3061,what is the accuracy of a cnn model,12
3062,what is the si model,12
3063,is favipiravir safe,12
3064,what is the population of china,12
3065,what is the mers-cov vaccine,12
3066,average age of covid,12
3067,what is the mers-cov,12
3068,what is the mechanism of sars,12
3069,what is the effect of remdesivir,12
3070,how many sars cov2 genomes are there,12
3071,what is nsp14,12
3072,what is the normal range for troponin t,12
3073,how many people have died from sars cov,12
3074,what is serial interval,12
3075,what is virosal used for,12
3076,what vitamin is used to treat covid,12
3077,how many cases of covid in nigeria,12
3078,what is the rna vaccine,12
3079,what is sbcyor,12
3080,what is the difference between veneto and lombardy,12
3081,what is the sensitivity of a rt pcr test,12
3082,what is the effect of pandemics,12
3083,what is the accuracy of cnn,12
3084,what is shapley value,12
3085,what is the purpose of a simulation model,12
3086,what is the protocol for sars cov,12
3087,what is ntz,12
3088,what is sat,12
3089,how many cases of covid in australia,12
3090,what is the mechanism of liver injury,12
3091,what is the relationship between mindfulness and creativity,12
3092,what is the definition of vulnerability,12
3093,what is the treatment for cov,12
3094,what is the difference between italy and south korea,12
3095,limitations of telemedicine,12
3096,what is cxcr4,12
3097,what is the target of sars cov,12
3098,what is the difference between a positive and a negative covid,12
3099,what is the opacity of a ct scan,12
3100,why is prone positioning necessary,12
3101,what is the function of the rna,12
3102,what is tavr,12
3103,what is the inflammatory response of sars,12
3104,what is the incidence of dvt,12
3105,is tocilizumab safe,12
3106,what is the ct of sars,12
3107,why is food safety important,12
3108,when does the peak of an epidemic occur,12
3109,what is the mechanism of action of favipiravir,12
3110,when was covid diagnosed,12
3111,what is the normal range for qtc,12
3112,what is the purpose of a qualitative study,12
3113,what is the population of france,12
3114,what is the pca,12
3115,when was covid 19 first detected,12
3116,how to calculate fatality rate,12
3117,what is the most common respiratory virus,12
3118,what is mpro,12
3119,what is the sensitivity of lfia,12
3120,what is the source of sars-cov,12
3121,what is the prevalence of covid in india,12
3122,what is the sensitivity of qpcr,12
3123,what is the topic of covid,12
3124,what is the corona score,12
3125,what is the logistic regression model for covid,12
3126,what is the sensitivity of qrt pcr,12
3127,what is the earliest stage of covid,12
3128,what is the population of hubei province,12
3129,what is the main protease of sars-cov-2,12
3130,what is the sensitivity of rt qpcr,12
3131,why is critical care important,12
3132,what is ace2 mrna,12
3133,what is osm data,12
3134,what is the impact of sars,12
3135,how long does it take for igg to detect,12
3136,what inhibits autophagy,12
3137,how long does it take for igg to be detected,12
3138,what is the psychological effect of quarantine,12
3139,what is the standard sir model,12
3140,what is the normal range for lipase,12
3141,what is pd,12
3142,what is the lombardy region,12
3143,what is the qtc of hydroxychloroquine,12
3144,what is the prevalence of cvd,12
3145,what is qfpd,12
3146,what is ace2 in lungs,12
3147,how long does it take for covid to peak,12
3148,what type of cell is sars-cov-2,12
3149,what is mrna,12
3150,what is the ct score for pneumonia,12
3151,what is the coronavirus pandemic,12
3152,how many cases of sars cov2,12
3153,what is the purpose of a rubber dam,12
3154,what type of cells are ace2,12
3155,what is the diagnosis of sars cov,12
3156,what is the normal dose of methylprednisolone,12
3157,what is the normal d dimer for covid,12
3158,what is pyross,12
3159,what is idseq,12
3160,what is the sensitivity of rrt pcr,12
3161,what is the effective contact rate,12
3162,what is the dna vaccine,12
3163,what is covid disease,12
3164,what is the scale for depression,12
3165,who declares that no financial support was received from any organization for the submitted work,12
3166,what is the difference between anosmia and dysgeusia,12
3167,what is the sequence of sars-cov-2,12
3168,what is the purpose of compartmental model,12
3169,what is nac used for,12
3170,why is the pandemic a challenge,12
3171,what was the impact of covid-19,12
3172,what is the normal range for a nasopharyngeal swab,12
3173,what is the assay for sars-cov-2,12
3174,what is the primary prevention of covid,12
3175,what is crisisbert,12
3176,what is the normal range for a fever,12
3177,why is testing important,12
3178,what is the serial interval distribution,12
3179,what is the function of angiotensin converting enzyme,12
3180,what is the difference between a surgical mask and a cloth mask,12
3181,what is the coagulability of covid,12
3182,what is the half life of hcq,12
3183,what is the auc score,12
3184,what is the primary outcome of tocilizumab,12
3185,what is the difference between informed consent and conflict of interest,12
3186,what is the hamiltonian system,12
3187,what is the incidence of pulmonary embolism,12
3188,what is covidnet,12
3189,what is the effect of sars-cov-2 on the immune system,12
3190,what is the difference between a surgical mask and a mask,12
3191,what is the treatment for cytokine storm,12
3192,what is situational awareness,12
3193,what is the role of a neurosurgeon,12
3194,what is the confusion matrix,12
3195,what is the propensity score for covid,12
3196,what is the half life of chloroquine,12
3197,what is the purpose of the gdpr,12
3198,what is the erlang distribution,12
3199,what is cpap,12
3200,what is the purpose of vlps,12
3201,what is covid testing,12
3202,what is the role of acei in covid,12
3203,what is the sequence of sars cov,12
3204,what is rural health care,12
3205,what is the peak of the pandemic,12
3206,how many beds in a hospital,12
3207,what is aviation diplomacy,12
3208,what is crp apheresis,12
3209,what is the em algorithm,12
3210,what is the sensitivity of a nasopharyngeal swab,12
3211,what is the gompertz model,12
3212,what is monoclonal antibody,12
3213,what is prone ventilation,12
3214,how often should you wash your hands,12
3215,what is prehabilitation,12
3216,what is crowdsensim,12
3217,when was the first case of coronavirus detected,12
3218,what is the incidence of sars in italy,12
3219,average length of stay in icu,12
3220,what is takotsubo syndrome,12
3221,when did the sars epidemic peak,12
3222,what is the seroprevalence of sars-cov-2,12
3223,what is crp in dogs,12
3224,what is the risk of covid pneumonia,12
3225,what is the role of ace2 in the cardiovascular system,12
3226,what is the clinical characteristic of sars-cov-2,12
3227,what is the mechanism of autophagy,12
3228,what is the difference between a fixed effect and a random effect,12
3229,why is the u.s,12
3230,what is t2dm,12
3231,what is vte in covid,12
3232,what is the serological test for covid,12
3233,what is the effect of ace2 on sars-cov-2,12
3234,which of the following is an example of an innate immune response?,12
3235,what is the limitation of this study,12
3236,what is rca,12
3237,how is covid-19 spread,12
3238,what is the treatment for acute appendicitis,12
3239,where is hubei province,12
3240,what is famotidine used for,11
3241,what is papr,11
3242,what is the epidemic curve,11
3243,when is sars cov 2 tested,11
3244,what is the prevalence of obesity,11
3245,what is the serial interval for sars,11
3246,who is involved in the study,11
3247,what is the normal dose of hydroxychloroquine,11
3248,what is the difference between fake news and real news,11
3249,what is the innate immune response to covid,11
3250,what is the function of tetherin,11
3251,what is the morphology of sars-cov-2,11
3252,what is fake news,11
3253,what is the chinese coronavirus,11
3254,what is the risk factor for anxiety,11
3255,what is resource allocation,11
3256,what is the mechanism of action of cq/hcq,11
3257,what is lus used for,11
3258,what is troponin elevation,11
3259,what is troponin t,11
3260,what is the mechanism of cardiac injury,11
3261,how accurate is sars cov,11
3262,what is the mechanism of action of covid 19,11
3263,how to calculate excess mortality,11
3264,what is epidemiology,11
3265,what is the screening for covid,11
3266,what is net formation,11
3267,what is the role of tmprss2 in viral entry,11
3268,what is ceus,11
3269,what is the purpose of proximity tracing,11
3270,what is the wavelength of uv light,11
3271,what is cfrp,11
3272,what is the normal lymphocyte count for covid,11
3273,what is the dilution of sars,11
3274,what is the digital twin,11
3275,what is ocd,11
3276,what is prs,11
3277,what is the effect of cq and hcq,11
3278,what is the dose of ruxolitinib,11
3279,why is universal masking necessary,11
3280,what is pirfenidone used for,11
3281,what is the impact of pandemic,11
3282,what is the latitude of covid,11
3283,what is the role of ifn in sars-cov,11
3284,what is the mortality rate of covid pneumonia,11
3285,age range of covid,11
3286,what is the confounder of covid,11
3287,how long does a ct scan take,11
3288,what is the crp of covid,11
3289,what is the purpose of a sir model,11
3290,what is the difference between italy and china,11
3291,what is the purpose of a serological assay,11
3292,what is the definition of asymptomatic,11
3293,what is the abcd study,11
3294,what is the normal range for hydroxychloroquine,11
3295,what is the titer of covid,11
3296,what is the purpose of a sars mask,11
3297,what is the mortality rate for covid 19,11
3298,what is the definition of stress,11
3299,what is e-learning,11
3300,what is ebselen,11
3301,what is the mortality rate of sars-cov,11
3302,what is the role of sars cov-2,11
3303,why is pharmacist important,11
3304,what is the mortality rate of sars cov-2,11
3305,what is the mechanism of sars-cov2,11
3306,what is the risk of sars cov2,11
3307,what is the primary cause of death for covid,11
3308,how long is sars quarantine,11
3309,what is the quality of a study,11
3310,what is cellular senescence,11
3311,what is cinacalcet used for,11
3312,what is the mechanism of action of mscs,11
3313,what is the role of icu,11
3314,what is tf-idf,11
3315,what is the genus of sars cov,11
3316,how long does a quarantine last,11
3317,what is the effect of physical activity on the immune system,11
3318,what is supar,11
3319,what is microsoft teams,11
3320,what is the purpose of surveillance,11
3321,what is the difference between ct and lus,11
3322,what is lmwf5a,11
3323,when is the next sars outbreak,11
3324,what is the presenting symptoms of covid,11
3325,what is the purpose of a nomogram,11
3326,what is the purpose of a lockdown,11
3327,what is liwc,11
3328,what is the model of sars,11
3329,what is the igg antibody for sars,11
3330,when is social distancing implemented,11
3331,who contributed to the article and approved the submitted version,11
3332,what is rbd specific,11
3333,how is covid spread,11
3334,what is crispr used for,11
3335,why is the lockdown period important,11
3336,what is the igg level for covid,11
3337,what is the genome of coronavirus,11
3338,what is the final size of an epidemic,11
3339,what is the igg level for sars,11
3340,what is the cause of liver injury,11
3341,what is ppar,11
3342,what is the theme of covid,11
3343,what is cvd,11
3344,how many cases of covid in brazil,11
3345,what is the cause of olfactory loss,11
3346,what is the purpose of a pcr test,11
3347,what is the incubation time for sars-cov-2,11
3348,what is the yin yang doctrine,11
3349,what is the cause of mers,11
3350,what is the pathology of sars-cov-2,11
3351,what is the average knowledge score for covid,11
3352,what is the role of the media in the pandemic,11
3353,what was the effect of the coronavirus,11
3354,when is the pandemic,11
3355,what is the microbiome of covid,11
3356,what is the purpose of a lung ultrasound,11
3357,what is the function of mitochondria,11
3358,what is the risk of myocardial injury,11
3359,what is the neurologic symptoms of covid,11
3360,why is quarantine important,11
3361,what is the baseline qtc for covid,11
3362,prevalence of anxiety and depression,11
3363,what is the significance of the covid epidemic,11
3364,what is the ai model,11
3365,what is suds,11
3366,when was the first case of covid recorded,11
3367,when is the coronavirus epidemic,11
3368,what is regional anesthesia,11
3369,what is the role of ace2 in the inflammatory response,11
3370,what is the meaning of covid 19,11
3371,what is the role of ace2 in pulmonary hypertension,11
3372,what is the ai system used for,11
3373,what is the role of ace2 in sars cov,11
3374,what is the cause of aki,11
3375,what is the epitope of coronavirus,11
3376,what is the spread rate of covid19,11
3377,what is the role of autophagy in asthma,11
3378,what is the pathogen of sars cov,11
3379,who declares conflicts of interest,11
3380,what is the sensitivity of a cxr,11
3381,what is the risk of death in covid,11
3382,when was the covid crisis,11
3383,what is the role of ace2 in intestinal inflammation,11
3384,what is the kermack-mckendrick model,11
3385,what is the use of machine learning,11
3386,what is the role of ace2 in kidney function,11
3387,what is the role of ace2 in lung cancer,11
3388,what is the role of ace2 in lung infection,11
3389,what is the effect of herd immunity,11
3390,what is the cumulative incidence of covid,11
3391,what is covidex,11
3392,what is lift bidding,11
3393,coronavirus pandemic,11
3394,when is sars-cov-2 confirmed,11
3395,what is the pathophysiology of covid 19,11
3396,what is the corona crisis,11
3397,why is medical education important,11
3398,what is nrf2,11
3399,what is collapsing glomerulopathy,11
3400,why is mechanical ventilation necessary,11
3401,what is the dosage of chloroquine phosphate,11
3402,when was covid-19 diagnosed,11
3403,what is the ct score,11
3404,how contagious is sars cov,11
3405,what is dgn,11
3406,what is compartment model,11
3407,how many cases of sars cov-2 in china,11
3408,what is design thinking,11
3409,what is the use of convalescent plasma,11
3410,what is covasim,11
3411,what is the role of interferon in sars-cov-2,11
3412,what is the etiology of sars,11
3413,what is the mcmc algorithm,11
3414,what is the prevalence of cardiovascular disease,11
3415,why is machine learning used,11
3416,why do people stay home,11
3417,when is sars cov detected,11
3418,what is the risk of pneumonia,11
3419,what is the role of an airway lead,11
3420,age of sars cov-2,11
3421,when is sars cov-2 detected in neonates,11
3422,what is the commuting network,11
3423,what is the impact of the pandemic on mental health,11
3424,what is the tidal volume of a ventilator,11
3425,how to calibrate a model,11
3426,what is distancing,11
3427,what is the rale score,11
3428,what is the worst case scenario for covid,11
3429,is sars cov contagious,11
3430,what is the purpose of icu,11
3431,how to calculate co2 emissions,11
3432,what is glycosylation,11
3433,what is tele rehabilitation,11
3434,what is pervasive automation,11
3435,what is the ct value for sars-cov-2,11
3436,what is the mers-cov virus,11
3437,what is microphenodb,11
3438,what is the treatment plan for covid 19,11
3439,when is sars outbreak,11
3440,what is the primary objective of the study,11
3441,what is the primary outcome of a clinical trial,11
3442,what is the definition of covid-19,11
3443,how effective is social distancing,11
3444,what is the bayesian method,11
3445,what is the impact of distancing measures,11
3446,what is the sic score for covid,11
3447,how many cases of covid in japan,11
3448,why is prone positioning used,11
3449,what is cxr used for,11
3450,what is the average length of a hospital stay,11
3451,what is the role of ace inhibitors in sars,11
3452,what is the crisis of covid,11
3453,what is lpv/r used for,11
3454,what is tcr,11
3455,what is nsaids used for,11
3456,how to estimate rt,11
3457,how long is the lockdown period,11
3458,what is delirium,11
3459,what is the etiology of kd,11
3460,what is technostress,11
3461,what is the future of education,11
3462,what is the qpcr for sars,11
3463,what is the inflammatory response of sars-cov-2,11
3464,what is the etiology of coronavirus,11
3465,what is the prediction model for covid,11
3466,what is the definition of pandemia,11
3467,what is nsp12,11
3468,what is the role of ace inhibitors in covid,11
3469,what is the ct value for covid,11
3470,optimal intervention definition,11
3471,why is teleconsultation important,11
3472,what is the binding affinity of remdesivir,11
3473,why is teleconsultation necessary,11
3474,what is the clinical profile of covid,11
3475,why is internationalization important,11
3476,when is covid published,11
3477,what is the effect of the pandemic on mental health,11
3478,what is uv-c,11
3479,what is uv light,11
3480,what is bcov,11
3481,what is uv c,11
3482,when will the covid epidemic end,11
3483,what is the role of social distancing in the pandemic,11
3484,what is the function of cd8+ t cells,11
3485,where does sars-cov-2 originate,11
3486,who is the guarantor of the article,11
3487,what is the lethality of covid,11
3488,what is the incidence of vte in icu,11
3489,how long does lpv/r take to work,11
3490,what is the spatial pattern of covid,11
3491,diffuse alveolar damage,11
3492,what is the role of technology in education,11
3493,when is convalescent plasma given,11
3494,when did the sars pandemic occur,11
3495,what is pneumomediastinum,11
3496,what is the difference between chloroquine and azithromycin,11
3497,what is the effect of arbs on ace2,11
3498,what is the purpose of sars cov-2,11
3499,what is the purpose of a case study,11
3500,what is the clinical presentation of covid-19,11
3501,what is nanotechnology used for,11
3502,when does the sars epidemic peak,11
3503,what is the rbd in sars,11
3504,what is the role of hcq in sars,11
3505,when does the covid epidemic end,11
3506,does nicotine cause covid,11
3507,why is ethnicity important,11
3508,what is the role of a pharmacist in the pandemic,11
3509,what is the prognosis of sars cov-2,11
3510,what is the difference between sars cov and mers cov,11
3511,what is the function of covid,11
3512,what is the function of covid 19,11
3513,what is the clinical characteristic of sars cov-2,11
3514,what is the sars cov-2 positive rate,11
3515,what is the risk perception of covid,11
3516,what is the diagnostic criteria for covid,11
3517,what is the hospitalization rate for covid,11
3518,what is the age limit for covid,11
3519,what is vrp,11
3520,what is the diagnostic serial interval,11
3521,how long does sars take to incubate,11
3522,what is the host of sars-cov,11
3523,what is the role of mscs in the immune system,11
3524,what is the in hospital mortality rate for covid,11
3525,what is solidarity,11
3526,what is the maximum dose of anakinra,11
3527,what is bmi,11
3528,what is the sars cov-2 positive,11
3529,what is the prognosis of sars cov,11
3530,what is bluetooth le,11
3531,what is the d dimer level for covid,11
3532,what is vr simulation,11
3533,when is covid-19 positive,11
3534,when is covid-19 vaccine available,11
3535,why is breastfeeding important,11
3536,what is the role of a community pharmacist,11
3537,what is the frequency of sars cov-2,11
3538,what is the purpose of nlp,11
3539,what is one health approach,11
3540,what is one health,11
3541,what is the most common comorbid condition,11
3542,what is the difference between taste and smell,11
3543,what is the effect of weather on covid,11
3544,what is the clinical course of sars cov-2,11
3545,what is the function of coronavirus,11
3546,what is the social distancing measures,11
3547,what is the tcr repertoire,11
3548,what is the most common cause of covid,11
3549,where is coronavirus transmitted,11
3550,what is the clinical impact of covid,11
3551,how long does it take to get a covid test,11
3552,what is the sars-cov-2 disease,11
3553,how long does it take for covid to work,11
3554,how long does it take for an outbreak to occur,11
3555,what is the herd immunity threshold,11
3556,what is the purpose of nanofibers,11
3557,what is the rna virus,11
3558,what is myocardial injury,11
3559,what is the importance of social distancing,11
3560,what is the heterogeneity of covid,11
3561,where is ace2 found in the brain,11
3562,what is the life expectancy of covid,11
3563,what is ifitm3,11
3564,how many people died in the covid epidemic,11
3565,what is the purpose of the online survey,11
3566,why is food insecurity a problem,11
3567,what is the role of t cells in the immune system,11
3568,what is the uv index,11
3569,how long does it take for covid to heal,11
3570,what is aep,11
3571,what is the population of nigeria,11
3572,what is sars cov-2 positive,11
3573,how long does it take to diagnose covid,11
3574,why is covid-19 pandemic,11
3575,what is the survival rate of tocilizumab,11
3576,what is vitamin a deficiency,11
3577,what is zoonotic disease,11
3578,what is the cytokine storm associated with covid,11
3579,what is zinc supplementation,11
3580,what is igg elisa,11
3581,how long does it take to extract rna,11
3582,where is coronavirus,11
3583,where are spike proteins located,11
3584,where is covid-19 located,11
3585,what is the main limitation of the study,11
3586,how long does it take for a rt pcr to show positive,11
3587,why is contact tracing useful,11
3588,what is il-6 in covid,11
3589,why is the covid-19 crisis important,11
3590,what is ipv,11
3591,what is the tasa of mortality,11
3592,when does the epidemic end,11
3593,why is communication important,11
3594,what is the vaccine covid,11
3595,what is nafamostat,11
3596,what is sirt1,11
3597,what is vlps,11
3598,what is the sars cov gene,11
3599,what is the elisa assay,11
3600,what is the propensity score for hydroxychloroquine,11
3601,why is hydroxychloroquine used,11
3602,what is rutin,11
3603,what is the difference between azithromycin and chloroquine,11
3604,why is fake news spreading,11
3605,what is icubam,11
3606,what is the role of the coronavirus,11
3607,what is the main limitation of the present study,11
3608,what is the rna reaction,11
3609,when does iga peak,11
3610,what is ane,11
3611,what is seir,11
3612,why is data collection important,11
3613,what is the effect of ace2 on lungs,11
3614,what is monocaprin used for,11
3615,what is the role of a mental health provider,11
3616,what is the purpose of lus,11
3617,what is the treatment for hypertension,11
3618,what is ici therapy,11
3619,what is ripk1,11
3620,what is the binding affinity of sars-cov-2,11
3621,what is the purpose of medline,11
3622,where is sars-cov-2,11
3623,what is the incidence of covid pneumonia,11
3624,why are schools closed,11
3625,how long does it take for sars to clear up,11
3626,what is spike ectodomain,11
3627,when did sars spread,11
3628,what is the best treatment for sars,11
3629,what is twh training,11
3630,what is the effect of conspiracy theories,11
3631,what age group is covid,11
3632,when does sars spread,11
3633,what is the treatment for delirium,11
3634,when does sars occur,11
3635,when did sars occur,11
3636,what is vuca,11
3637,why is it important to conduct a clinical trial,11
3638,what is hidroxicloroquina,11
3639,what is the benefit of dexamethasone,11
3640,what is the iot,11
3641,what is the current treatment for covid,11
3642,what is the effect of contact tracing,11
3643,how to predict the peak of an epidemic,11
3644,where does mers come from,11
3645,what organs are affected by sars cov2,11
3646,how long does coronavirus last,11
3647,what is camostat mesylate,11
3648,what is mir,11
3649,what is the temperature range for sars,11
3650,what is the purpose of rna extraction,11
3651,what is the doubling time,11
3652,what is the role of n protein in viral replication,11
3653,how long does social distancing last,11
3654,what is ritonavir and lopinavir,11
3655,what is the purpose of aptamers,11
3656,what is the difference between severe and nonsevere covid,11
3657,vitamin d deficiency causes,11
3658,why is sars cov2 important,11
3659,what is the average age of a hospitalized patient,11
3660,what is the difference between informed consent and informed consent,10
3661,why is vaccination a social contract,10
3662,who contributed to the study design,10
3663,age associated genes,10
3664,what is crispr/cas9,10
3665,what is nets,10
3666,what is crispr-cas,10
3667,what is the qtc for covid,10
3668,which model is the best,10
3669,what is the underlying cause of covid,10
3670,what is the role of a surgeon,10
3671,what is cbt therapy,10
3672,what is the optimal control problem,10
3673,what is the risk of death for sars,10
3674,what is pentoxifylline,10
3675,what is patient centered care,10
3676,what is the purpose of a negative pressure room,10
3677,what is ttfields,10
3678,why is the pandemic spreading,10
3679,why is containment necessary,10
3680,what is the sex distribution of covid,10
3681,what is the purpose of molecular docking,10
3682,what is apremilast,10
3683,what is the impact of an epidemic outbreak,10
3684,what is sace2,10
3685,what is the purpose of a cxr,10
3686,what is vicarious traumatization,10
3687,what is oer,10
3688,what is the onset of sars cov,10
3689,what is pasqal,10
3690,what is the growth rate of sars,10
3691,why is data important,10
3692,what is the normal temperature for a fever,10
3693,what is the risk factor for copd,10
